"ymd","year","month","day","numBlocks","difficulty","rewardPerBlock","transactionFees","difficultyChange","bitx","bitfinex","coinebase","kraken","AvgPrice","Work","revenuePerDay","revenuePerGH"
"2016-05-25",2016,5,25,138,1.96061e+11,25,59.87550803,1,447.4366229,447.9774745,449.8569225,446.7802685,448.095189844444,1.16208203653372e+23,1572758.33210107,1.35339699148291e-08
"2016-05-26",2016,5,26,135,1.96061e+11,25,55.65651605,0,450.3963354,451.1554254,452.0810261,449.8969815,450.9616885,1.1368193835656e+23,1547094.65514144,1.36089749832469e-08
"2016-05-27",2016,5,27,139,1.96061e+11,25,70.89209327,0,472.0217134,472.4856643,470.427353,469.2559156,470.791304566667,1.17050292085643e+23,1669375.16444321,1.42620333080568e-08
"2016-05-28",2016,5,28,133,1.96061e+11,25,52.34180926,0,501.0617638,501.3490905,495.6766273,493.8066472,495.010283233333,1.11997761492018e+23,1671818.92557757,1.49272530388629e-08
"2016-05-29",2016,5,29,147,1.96061e+11,25,47.98546674,0,526.4215053,528.8637138,521.5205411,520.1551071,521.49300306,1.2378699954381e+23,1941510.87139898,1.56842873529046e-08
"2016-05-30",2016,5,30,144,1.96061e+11,25,57.85196125,0,538.9469438,536.7875416,531.2828042,530.4411268,531.09643414,1.21260734246997e+23,1942672.13323188,1.60206199087896e-08
"2016-05-31",2016,5,31,127,1.96061e+11,25,52.33924442,0,539.71049,536.2091972,533.3877519,533.3197333,533.90091787,1.06945230898393e+23,1723079.38487371,1.6111792647498e-08
"2016-06-01",2016,6,1,143,1.96061e+11,25,56.18497783,0,534.0793511,534.2864575,533.3369666,531.9372302,532.95705044,1.20418645814726e+23,1935265.63538631,1.60711459782057e-08
"2016-06-02",2016,6,2,138,1.96061e+11,25,58.53519721,0,536.3688389,536.5566835,536.1714672,535.9233165,538.55188495,1.16208203653372e+23,1889528.24387087,1.6259852441287e-08
"2016-06-03",2016,6,3,142,1.96061e+11,25,54.69656979,0,553.8127267,555.2081492,554.9886109,554.4982071,553.53698716,1.19576557382455e+23,1995332.87886754,1.66866560013569e-08
"2016-06-04",2016,6,4,119,1.96061e+11,25,46.44371282,0,572.4696224,574.3764025,576.6237181,573.3151947,573.38809592,1.00208523440227e+23,1732459.85742332,1.72885478993881e-08
"2016-06-05",2016,6,5,170,1.96061e+11,25,44.16827831,0,575.4296003,576.2002899,577.7984374,576.8763963,575.99769058,1.43155033486038e+23,2473431.01126845,1.72779884230175e-08
"2016-06-06",2016,6,6,170,1.96061e+11,25,52.13956486,0,580.5242004,582.8646273,583.0771945,581.9337893,580.92857156,1.43155033486038e+23,2499235.79206588,1.74582460092794e-08
"2016-06-07",2016,6,7,140,1.96061e+11,25,52.51815706,0,577.4746375,581.2407188,582.7769799,581.6845486,582.11630205,1.17892380517914e+23,2067978.73255325,1.75412416262052e-08
"2016-06-08",2016,6,8,144,1.96061e+11,25,50.40981971,0,572.5929912,577.3070734,579.0520376,578.0484091,578.6190793,1.21260734246997e+23,2112196.76894828,1.74186374679699e-08
