"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"16/12/20:13","16","12","20","13",791.537439903846,354.90029574,280916.871511157
"16/12/20:14","16","12","20","14",792.444847020934,205.93310223,163190.625693199
"16/12/20:15","16","12","20","15",793.509144144144,469.48719438,372542.381799109
"16/12/20:16","16","12","20","16",797.00453358209,535.01613733,426410.286991588
"16/12/20:17","16","12","20","17",799.506231884058,309.10562124,247131.870491773
"16/12/20:18","16","12","20","18",801.511808943089,577.18243055,462618.5340003
"16/12/20:19","16","12","20","19",802.335653495441,285.46905089,229041.997498551
"16/12/20:20","16","12","20","20",804.826838602329,328.13305913,264090.292620509
"16/12/20:21","16","12","20","21",808.923790523691,299.14992179,241989.488669232
"16/12/20:22","16","12","20","22",808.615758426966,382.65069556,309417.382402856
"16/12/20:23","16","12","20","23",808.473564013841,154.91337925,125243.371835675
"16/12/21:00","16","12","21","00",809.829402597403,358.62392896,290424.20214681
"16/12/21:01","16","12","21","01",810.216842105263,112.71054101,91319.978609098
"16/12/21:02","16","12","21","02",809.623088235294,83.6444609,67720.4867476343
"16/12/21:03","16","12","21","03",809.769735294118,120.77271078,97798.0860390736
"16/12/21:04","16","12","21","04",809.971279461279,171.58384076,138977.983035258
"16/12/21:05","16","12","21","05",811.018535031847,215.65307472,174898.640734528
"16/12/21:06","16","12","21","06",813.356492537313,415.97578685,338336.606972765
"16/12/21:07","16","12","21","07",820.862388489209,737.55880724,605434.284162278
