"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"13/05/15:22","13","05","15","22",110.308099547511,246.97446096,27243.2834252686
"13/05/15:23","13","05","15","23",109.600742358079,272.10352511,29822.7483503061
"13/05/16:00","13","05","16","00",109.678323353293,300.35179166,32942.0809254265
"13/05/16:01","13","05","16","01",109.86147826087,212.98345564,23398.6772817187
"13/05/16:02","13","05","16","02",109.930162601626,138.87414725,15266.4575883547
"13/05/16:03","13","05","16","03",109.578823529412,209.19729984,22923.5940019968
"13/05/16:04","13","05","16","04",109.91731092437,142.0377243,15612.404704873
"13/05/16:05","13","05","16","05",109.479115044248,153.3634189,16790.0913813323
"13/05/16:06","13","05","16","06",109.891140350877,337.95860365,37138.6563464886
"13/05/16:07","13","05","16","07",110.779069767442,381.292312,42239.2076328372
"13/05/16:08","13","05","16","08",111.005057471264,86.29907983,9579.63431624638
"13/05/16:09","13","05","16","09",111.082673267327,204.51767358,22718.3699116809
"13/05/16:10","13","05","16","10",111.42053030303,230.48744897,25681.03379243
"13/05/16:11","13","05","16","11",111.839099099099,133.1809443,14894.8368276793
"13/05/16:12","13","05","16","12",111.459708029197,285.01183147,31767.3355205129
"13/05/16:13","13","05","16","13",111.341069958848,444.38485642,49478.2853873117
"13/05/16:14","13","05","16","14",111.244108527132,331.84683985,36916.0058666591
"13/05/16:15","13","05","16","15",111.776107692308,1091.68046867,122023.793631647
"13/05/16:16","13","05","16","16",112.680507614213,565.84513776,63759.7173538312
"13/05/16:17","13","05","16","17",112.847633587786,643.4134193,72607.6817866311
"13/05/16:18","13","05","16","18",113.534513888889,213.59654986,24250.5804566989
"13/05/16:19","13","05","16","19",113.901226993865,156.90308504,17871.4539051788
"13/05/16:20","13","05","16","20",113.863036649215,183.51248534,20895.2888438569
"13/05/16:21","13","05","16","21",113.472946859903,194.94908382,22121.4470286937
"13/05/16:22","13","05","16","22",113.565722891566,183.64727076,20856.0350609226
"13/05/16:23","13","05","16","23",113.918187134503,199.67752921,22746.9021391
"13/05/17:00","13","05","17","00",113.835605095541,119.51782523,13605.3839547602
"13/05/17:01","13","05","17","01",113.707398843931,160.59760916,18261.1363981378
"13/05/17:02","13","05","17","02",113.358343558282,234.65511357,26600.1149817758
"13/05/17:03","13","05","17","03",113.549378881988,103.04816883,11701.0555655727
"13/05/17:04","13","05","17","04",113.677938931298,134.47047139,15286.3260347352
"13/05/17:05","13","05","17","05",113.827659574468,203.06344556,23114.2367532222
"13/05/17:06","13","05","17","06",114.321902834008,410.40803009,46918.6269382457
"13/05/17:07","13","05","17","07",114.56003968254,158.47459701,18154.8561221401
"13/05/17:08","13","05","17","08",114.253441295547,175.66470877,20070.2974911525
"13/05/17:09","13","05","17","09",114.604964539007,169.61548835,19438.7770276181
"13/05/17:10","13","05","17","10",114.889806835067,881.0049277,101218.485964195
"13/05/17:11","13","05","17","11",115.842261251372,1769.91240465,205030.65517151
"13/05/17:12","13","05","17","12",116.838055555556,648.37512533,75754.8889141468
"13/05/17:13","13","05","17","13",117.737240506329,874.61972232,102975.312598369
"13/05/17:14","13","05","17","14",117.86625,371.16781232,43748.1581588622
"13/05/17:15","13","05","17","15",115.829847328244,1094.86284954,126817.796707585
